playDispNm,playMin,playPos,playHeight,playWeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB
Jonathon Simmons,29.4057971014,2,78.0,195.0,13.9420289855,2.47826086957,2.11594202899,0.826086956522,0.246376811594,2.53623188406,11.0289855072,5.13043478261,0.460349275362,8.07246376812,4.13043478261,0.508792753623,2.95652173913,1.0,0.313926086957,3.49275362319,2.68115942029,0.660802898551,0.884057971014,2.59420289855
Jordan Bell,14.2280701754,3,81.0,225.0,4.59649122807,1.78947368421,0.894736842105,0.631578947368,1.0,1.61403508772,3.24561403509,2.0350877193,0.550596491228,3.17543859649,2.0350877193,0.56521754386,0.0701754385965,0.0,0.0,0.771929824561,0.526315789474,0.241228070175,1.05263157895,2.54385964912
Jordan Clarkson,23.2716049383,1,77.0,193.0,13.8765432099,2.72839506173,1.56790123457,0.716049382716,0.0740740740741,1.32098765432,11.7777777778,5.30864197531,0.436886419753,7.85185185185,3.92592592593,0.491398765432,3.92592592593,1.38271604938,0.29779382716,2.34567901235,1.87654320988,0.576835802469,0.703703703704,1.96296296296
Jordan Crawford,10.8,5,76.0,195.0,6.6,2.8,0.8,0.2,0.2,1.4,5.4,2.4,0.41428,2.6,0.8,0.25714,2.8,1.6,0.41428,0.2,0.2,0.2,0.4,0.2
Jordan Mickey,12.347826087,3,80.0,235.0,4.04347826087,0.391304347826,0.782608695652,0.260869565217,0.434782608696,1.5652173913,3.5652173913,1.69565217391,0.341508695652,2.86956521739,1.60869565217,0.405639130435,0.695652173913,0.0869565217391,0.0652173913043,0.826086956522,0.565217391304,0.25,0.782608695652,2.73913043478
Jose Barea,23.3043478261,1,72.0,175.0,11.6086956522,6.30434782609,2.07246376812,0.507246376812,0.0434782608696,1.20289855072,10.0,4.39130434783,0.433786956522,5.46376811594,2.72463768116,0.480434782609,4.53623188406,1.66666666667,0.352588405797,1.47826086957,1.15942028986,0.422086956522,0.231884057971,2.68115942029
Jose Calderon,16.0526315789,1,75.0,210.0,4.47368421053,2.05263157895,0.719298245614,0.473684210526,0.0350877192982,1.42105263158,3.24561403509,1.63157894737,0.344854385965,1.54385964912,0.842105263158,0.354971929825,1.70175438596,0.789473684211,0.276459649123,0.526315789474,0.421052631579,0.172514035088,0.245614035088,1.21052631579
Joseph Young,10.5660377358,1,74.0,180.0,3.90566037736,0.735849056604,0.490566037736,0.264150943396,0.0188679245283,0.735849056604,3.50943396226,1.50943396226,0.350364150943,2.2641509434,1.03773584906,0.356066037736,1.24528301887,0.471698113208,0.189464150943,0.547169811321,0.415094339623,0.22641509434,0.22641509434,0.962264150943
Josh Gray,17.4,0,73.0,180.0,6.4,2.4,1.4,1.6,0.4,1.6,8.2,2.2,0.30542,5.6,1.6,0.27272,2.6,0.6,0.33334,2.2,1.4,0.48334,0.4,1.6
Josh Hart,23.1746031746,5,77.0,205.0,7.87301587302,1.26984126984,0.746031746032,0.746031746032,0.253968253968,1.69841269841,5.95238095238,2.79365079365,0.435485714286,2.8253968254,1.55555555556,0.435452380952,3.12698412698,1.2380952381,0.34483015873,1.49206349206,1.04761904762,0.365836507937,0.666666666667,3.50793650794
Josh Huestis,14.2173913043,2,79.0,230.0,2.30434782609,0.289855072464,0.376811594203,0.217391304348,0.623188405797,1.1884057971,2.63768115942,0.869565217391,0.317323188406,0.971014492754,0.391304347826,0.247824637681,1.66666666667,0.478260869565,0.26442173913,0.289855072464,0.0869565217391,0.0434782608696,0.623188405797,1.72463768116
Josh Jackson,25.5714285714,2,80.0,207.0,13.1428571429,1.55844155844,1.8961038961,1.03896103896,0.454545454545,2.83116883117,12.1038961039,5.05194805195,0.409258441558,9.28571428571,4.31168831169,0.457175324675,2.81818181818,0.74025974026,0.244585714286,3.62337662338,2.2987012987,0.514355844156,1.23376623377,3.32467532468
Josh Magette,12.0,1,73.0,160.0,2.55555555556,3.16666666667,0.5,0.444444444444,0.0555555555556,0.888888888889,2.55555555556,0.833333333333,0.263883333333,1.33333333333,0.388888888889,0.152772222222,1.22222222222,0.444444444444,0.254627777778,0.444444444444,0.444444444444,0.222222222222,0.111111111111,0.944444444444
Josh McRoberts,3.0,4,82.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Richardson,33.1975308642,2,78.0,200.0,12.9012345679,2.85185185185,1.7037037037,1.50617283951,0.913580246914,2.45679012346,10.9259259259,4.92592592593,0.437555555556,6.77777777778,3.35802469136,0.465165432099,4.14814814815,1.56790123457,0.353591358025,1.75308641975,1.48148148148,0.511112345679,0.83950617284,2.66666666667
Josh Smith,4.0,3,81.0,225.0,0.666666666667,0.0,0.0,0.0,0.0,1.0,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.333333333333
Jrue Holiday,36.1234567901,1,75.0,180.0,18.975308642,6.01234567901,2.66666666667,1.49382716049,0.79012345679,2.48148148148,15.3333333333,7.59259259259,0.484845679012,10.9382716049,6.11111111111,0.557179012346,4.3950617284,1.48148148148,0.296820987654,2.93827160494,2.30864197531,0.633935802469,0.765432098765,3.74074074074
Juan Hernangómez,11.12,4,81.0,230.0,3.28,0.48,0.36,0.24,0.12,1.0,3.0,1.16,0.319252,1.0,0.6,0.262668,2.0,0.56,0.225332,0.48,0.4,0.2,0.72,1.44
Julius Randle,26.7195121951,4,81.0,250.0,16.1341463415,2.56097560976,2.59756097561,0.524390243902,0.548780487805,3.34146341463,11.012195122,6.14634146341,0.553825609756,10.4634146341,6.0243902439,0.580095121951,0.548780487805,0.121951219512,0.0792682926829,5.18292682927,3.71951219512,0.624902439024,2.20731707317,5.76829268293
Julyan Stone,7.65217391304,1,78.0,200.0,0.826086956522,1.13043478261,0.304347826087,0.173913043478,0.0869565217391,0.913043478261,0.565217391304,0.260869565217,0.101452173913,0.0,0.0,0.0,0.565217391304,0.260869565217,0.101452173913,0.0869565217391,0.0434782608696,0.0217391304348,0.0434782608696,1.21739130435
Justin Anderson,13.6578947368,5,78.0,228.0,6.21052631579,0.657894736842,0.421052631579,0.394736842105,0.210526315789,1.42105263158,5.31578947368,2.28947368421,0.404584210526,2.60526315789,1.39473684211,0.450442105263,2.71052631579,0.894736842105,0.272871052632,1.0,0.736842105263,0.263157894737,0.657894736842,1.76315789474
